"대여날짜","하루이용횟수"
"2019-01-01",424
"2019-01-02",586
"2019-01-03",664
"2019-01-04",663
"2019-01-05",621
"2019-01-06",558
"2019-01-07",675
"2019-01-08",614
"2019-01-09",628
"2019-01-10",774
"2019-01-11",770
"2019-01-12",646
"2019-01-13",595
"2019-01-14",575
"2019-01-15",592
"2019-01-16",652
"2019-01-17",752
"2019-01-18",785
"2019-01-19",693
"2019-01-20",617
"2019-01-21",630
"2019-01-22",784
"2019-01-23",812
"2019-01-24",831
"2019-01-25",768
"2019-01-26",637
"2019-01-27",612
"2019-01-28",700
"2019-01-29",756
"2019-01-30",889
"2019-01-31",772
"2019-02-01",771
"2019-02-02",720
"2019-02-03",129
"2019-02-04",455
"2019-02-05",448
"2019-02-06",703
"2019-02-07",674
"2019-02-08",633
"2019-02-09",661
"2019-02-10",537
"2019-02-11",666
"2019-02-12",788
"2019-02-13",821
"2019-02-14",852
"2019-02-15",408
"2019-02-16",682
"2019-02-17",694
"2019-02-18",849
"2019-02-19",577
"2019-02-20",912
"2019-02-21",910
"2019-02-22",950
"2019-02-23",1079
"2019-02-24",997
"2019-02-25",1005
"2019-02-26",1184
"2019-02-27",1225
"2019-02-28",1203
"2019-03-01",967
"2019-03-02",1048
"2019-03-03",1139
"2019-03-04",1216
"2019-03-05",1061
"2019-03-06",1126
"2019-03-07",1455
"2019-03-08",1426
"2019-03-09",1426
"2019-03-10",1434
"2019-03-11",1259
"2019-03-12",1142
"2019-03-13",1281
"2019-03-14",1347
"2019-03-15",917
"2019-03-16",1169
"2019-03-17",1621
"2019-03-18",1595
"2019-03-19",1793
"2019-03-20",688
"2019-03-21",1113
"2019-03-22",1427
"2019-03-23",1034
"2019-03-24",1490
"2019-03-25",1486
"2019-03-26",1866
"2019-03-27",1625
"2019-03-28",1770
"2019-03-29",1944
"2019-03-30",622
"2019-03-31",1143
"2019-04-01",1712
"2019-04-02",1812
"2019-04-03",1834
"2019-04-04",1903
"2019-04-05",1982
"2019-04-06",1177
"2019-04-07",2280
"2019-04-08",2196
"2019-04-09",894
"2019-04-10",1048
"2019-04-11",2196
"2019-04-12",2318
"2019-04-13",2385
"2019-04-14",1465
"2019-04-15",2405
"2019-04-16",2620
"2019-04-17",2759
"2019-04-18",2239
"2019-04-19",2731
"2019-04-20",2426
"2019-04-21",2672
"2019-04-22",2837
"2019-04-23",1285
"2019-05-01",3587
"2019-05-02",3428
"2019-05-03",3451
"2019-05-04",3024
"2019-05-05",2983
"2019-05-06",3495
"2019-05-07",3355
"2019-05-08",3494
"2019-05-09",3364
"2019-05-10",3577
"2019-05-11",3669
"2019-05-12",3535
"2019-05-13",3369
"2019-05-14",3758
"2019-05-15",2018
"2019-06-01",3906
"2019-06-02",3841
"2019-06-03",3988
"2019-06-04",4326
"2019-06-05",4216
"2019-06-06",2043
"2019-06-07",2686
"2019-06-08",4081
"2019-06-09",3052
"2019-06-10",3187
"2019-06-11",4293
"2019-06-12",4242
"2019-06-13",4123
"2019-06-14",4117
"2019-06-15",3577
"2019-06-16",3921
"2019-06-17",4175
"2019-06-18",1427
"2019-06-19",3679
"2019-06-20",4019
"2019-06-21",3508
"2019-06-22",4045
"2019-06-23",4039
"2019-06-24",4077
"2019-06-25",4084
"2019-06-26",3840
"2019-06-27",3578
"2019-06-28",3649
"2019-06-29",3258
"2019-06-30",3548
"2019-07-01",4118
"2019-07-02",4384
"2019-07-03",4253
"2019-07-04",4261
"2019-07-05",3852
"2019-07-06",3546
"2019-07-07",3558
"2019-07-08",4198
"2019-07-09",4462
"2019-07-10",2071
"2019-07-11",3229
"2019-07-12",4230
"2019-07-13",3705
"2019-07-14",3120
"2019-07-15",2459
"2019-07-16",3654
"2019-07-17",3728
"2019-07-18",3698
"2019-07-19",3665
"2019-07-20",2761
"2019-07-21",2198
"2019-07-22",3655
"2019-07-23",3714
"2019-07-24",2687
"2019-07-25",1383
"2019-07-26",1010
"2019-07-27",2453
"2019-07-28",968
"2019-07-29",3135
"2019-07-30",2822
"2019-07-31",1040
"2019-08-01",5383
"2019-08-02",6144
"2019-08-03",4454
"2019-08-04",3769
"2019-08-05",5111
"2019-08-06",5871
"2019-08-07",4929
"2019-08-08",6435
"2019-08-09",6186
"2019-08-10",5016
"2019-08-11",4154
"2019-08-12",1742
"2019-08-13",5747
"2019-08-14",6083
"2019-08-15",2922
"2019-08-16",6545
"2019-08-17",6365
"2019-08-18",6430
"2019-08-19",7195
"2019-08-20",7435
"2019-08-21",5905
"2019-08-22",7701
"2019-08-23",8012
"2019-08-24",7784
"2019-08-25",7082
"2019-08-26",7824
"2019-08-27",7625
"2019-08-28",8412
"2019-08-29",6263
"2019-08-30",6818
"2019-08-31",7514
"2019-09-01",3839
"2019-09-02",4192
"2019-09-03",3588
"2019-09-04",1352
"2019-09-05",1517
"2019-09-06",751
"2019-09-08",2345
"2019-09-09",3223
"2019-09-10",706
"2019-09-11",3462
"2019-09-12",1805
"2019-09-13",2827
"2019-09-14",2674
"2019-09-15",3825
"2019-09-16",3941
"2019-09-17",4338
"2019-09-18",4487
"2019-09-19",4363
"2019-09-20",4384
"2019-09-21",4021
"2019-09-22",2379
"2019-09-23",3948
"2019-09-24",4165
"2019-09-25",4220
"2019-09-26",4213
"2019-09-27",4213
"2019-09-28",4093
"2019-09-29",3811
"2019-09-30",4004
"2019-10-01",4105
"2019-10-02",1216
"2019-10-03",3335
"2019-10-04",4210
"2019-10-05",3692
"2019-10-06",3597
"2019-10-07",1098
"2019-10-08",3623
"2019-10-09",3694
"2019-10-10",3580
"2019-10-11",3981
"2019-10-12",3895
"2019-10-13",3747
"2019-10-14",3776
"2019-10-15",3853
"2019-10-16",4000
"2019-10-17",4044
"2019-10-18",4159
"2019-10-19",4096
"2019-10-20",3547
"2019-10-21",3748
"2019-10-22",4091
"2019-10-23",3956
"2019-10-24",4041
"2019-10-25",4026
"2019-10-26",3230
"2019-10-27",3051
"2019-10-28",2921
"2019-10-29",3257
"2019-10-30",3405
"2019-10-31",3500
"2019-11-01",3334
"2019-11-02",3089
"2019-11-03",2986
"2019-11-04",3450
"2019-11-05",3411
"2019-11-06",3553
"2019-11-07",3275
"2019-11-08",2979
"2019-11-09",3003
"2019-11-10",1941
"2019-11-11",2795
"2019-11-12",3133
"2019-11-13",1708
"2019-11-14",2005
"2019-11-15",689
"2019-11-16",2164
"2019-11-17",556
"2019-11-18",1731
"2019-11-19",1927
"2019-11-20",1812
"2019-11-21",2036
"2019-11-22",2423
"2019-11-23",2444
"2019-11-24",1226
"2019-11-25",2052
"2019-11-26",2275
"2019-11-27",2037
"2019-11-28",2102
"2019-11-29",1877
"2019-11-30",1917
"2019-12-01",546
"2019-12-02",1481
"2019-12-03",1560
"2019-12-04",1714
"2019-12-05",1301
"2019-12-06",1191
"2019-12-07",1069
"2019-12-08",1209
"2019-12-09",1374
"2019-12-10",1376
"2019-12-11",1560
"2019-12-12",1472
"2019-12-13",1441
"2019-12-14",1344
"2019-12-15",1514
"2019-12-16",1764
"2019-12-17",1221
"2019-12-18",1652
"2019-12-19",1437
"2019-12-20",1402
"2019-12-21",1059
"2019-12-22",1341
"2019-12-23",1250
"2019-12-24",1452
"2019-12-25",1057
"2019-12-26",1225
"2019-12-27",1285
"2019-12-28",1311
"2019-12-29",930
"2019-12-30",1013
"2019-12-31",862
